combo_params,fold,score_val,VAL_Sharpe,VAL_CAGR%,VAL_MaxDD%,VAL_Calmar,VAL_SR_tstat,p_value,q_value,significant_5pct,significant_10pct,SR_above_HLZ_tmin,stat_label,weight_cap,k_atr,turb_zscore_thr,turb_scale_min,vol_target_ann
"{'weight_cap': 0.65, 'k_atr': 3.0, 'turb_zscore_thr': 1.0, 'turb_scale_min': 0.25, 'vol_target_ann': 0.35}",1,0.9982639087501877,1.3273,23.959,-8.131,2.9467,1.874,0.060949,1.0,False,False,False,econ_strong_stat_weak,0.65,3.0,1.0,0.25,0.35
"{'weight_cap': 0.55, 'k_atr': 3.0, 'turb_zscore_thr': 1.0, 'turb_scale_min': 0.25, 'vol_target_ann': 0.35}",1,0.9946823419122259,1.3244,23.892,-8.131,2.9385,1.87,0.06153,1.0,False,False,False,econ_strong_stat_weak,0.55,3.0,1.0,0.25,0.35
"{'weight_cap': 0.65, 'k_atr': 3.0, 'turb_zscore_thr': 1.0, 'turb_scale_min': 0.25, 'vol_target_ann': 0.3}",1,0.9739779773869499,1.3145,23.274,-8.131,2.8625,1.856,0.063472,1.0,False,False,False,econ_strong_stat_weak,0.65,3.0,1.0,0.25,0.3
"{'weight_cap': 0.55, 'k_atr': 3.0, 'turb_zscore_thr': 1.0, 'turb_scale_min': 0.25, 'vol_target_ann': 0.3}",1,0.9703718243368014,1.3115,23.208,-8.131,2.8544,1.852,0.064084,1.0,False,False,False,econ_strong_stat_weak,0.55,3.0,1.0,0.25,0.3
"{'weight_cap': 0.65, 'k_atr': 3.0, 'turb_zscore_thr': 1.0, 'turb_scale_min': 0.25, 'vol_target_ann': 0.25}",1,0.9426781966368674,1.297,22.319,-8.131,2.7451,1.831,0.067083,1.0,False,False,False,econ_strong_stat_weak,0.65,3.0,1.0,0.25,0.25
"{'weight_cap': 0.55, 'k_atr': 3.0, 'turb_zscore_thr': 1.0, 'turb_scale_min': 0.25, 'vol_target_ann': 0.25}",1,0.9390316271612384,1.2938,22.253,-8.131,2.737,1.827,0.067739,1.0,False,False,False,econ_strong_stat_weak,0.55,3.0,1.0,0.25,0.25
"{'weight_cap': 0.65, 'k_atr': 3.0, 'turb_zscore_thr': 1.0, 'turb_scale_min': 0.4, 'vol_target_ann': 0.35}",1,0.9079148105073738,1.3152,24.134,-10.122,2.3842,1.857,0.063346,1.0,False,False,False,econ_strong_stat_weak,0.65,3.0,1.0,0.4,0.35
"{'weight_cap': 0.55, 'k_atr': 3.0, 'turb_zscore_thr': 1.0, 'turb_scale_min': 0.4, 'vol_target_ann': 0.35}",1,0.9046024074817736,1.3122,24.067,-10.122,2.3776,1.853,0.063936,1.0,False,False,False,econ_strong_stat_weak,0.55,3.0,1.0,0.4,0.35
"{'weight_cap': 0.65, 'k_atr': 3.0, 'turb_zscore_thr': 1.0, 'turb_scale_min': 0.4, 'vol_target_ann': 0.3}",1,0.8856834759895802,1.302,23.448,-10.122,2.3165,1.838,0.066027,1.0,False,False,False,econ_strong_stat_weak,0.65,3.0,1.0,0.4,0.3
"{'weight_cap': 0.65, 'k_atr': 3.0, 'turb_zscore_thr': 1.5, 'turb_scale_min': 0.25, 'vol_target_ann': 0.35}",1,0.884428902796565,1.2613,23.446,-9.338,2.5107,1.781,0.074934,1.0,False,False,False,econ_strong_stat_weak,0.65,3.0,1.5,0.25,0.35
"{'weight_cap': 0.55, 'k_atr': 3.0, 'turb_zscore_thr': 1.0, 'turb_scale_min': 0.4, 'vol_target_ann': 0.3}",1,0.8823471491893312,1.299,23.382,-10.122,2.3099,1.834,0.066648,1.0,False,False,False,econ_strong_stat_weak,0.55,3.0,1.0,0.4,0.3
"{'weight_cap': 0.55, 'k_atr': 3.0, 'turb_zscore_thr': 1.5, 'turb_scale_min': 0.25, 'vol_target_ann': 0.35}",1,0.8809360037604015,1.2582,23.376,-9.338,2.5032,1.777,0.075628,1.0,False,False,False,econ_strong_stat_weak,0.55,3.0,1.5,0.25,0.35
